batch_id,channel,layer_thickness_um,ambient_temp,resin_temp,resin_age,channel_length_um,channel_width_um,channel_height_um,delta_length_um,delta_width_um,delta_height_um,dim_error,flow_rate
1,1,100,83,66,9,40,0.5,0.5,11.632,4.792,19.8,532751782.5515626,0.126
1,2,100,83,66,9,40,0.5,0.5,6.842,3.091,16.5,532622437.7220816,0.128
1,3,100,83,66,9,40,0.5,0.5,8.841,18.251,4.78,532676871.7665606,0.126
1,4,100,83,66,9,40,0.5,0.5,17.908,1.941,5.02,532913037.18778175,0.135
2,1,100,83,66,27,40,0.5,0.5,1.87,0.001,1.525,532483860.3988421,0.13788432
2,2,100,83,66,27,40,0.5,0.5,13.283,7.622,3.735,532791257.3287327,0.13246746
2,3,100,83,66,27,40,0.5,0.5,13.667,7.334,15.406,532805354.10642713,0.12638802
2,4,100,83,66,27,40,0.5,0.5,18.724,17.378,4.95,532940001.7791867,0.12661974
3,1,100,83,66,49,40,0.5,0.5,11.211,0.733,8.976,532735496.56779546,0.1333287
3,2,100,83,66,49,40,0.5,0.5,14.203,10.778,2.755,532816516.40250605,0.13126752
3,3,100,83,66,49,40,0.5,0.5,7.544,19.632,2.173,532641915.7414296,0.12674292
3,4,100,83,66,49,40,0.5,0.5,11.872,3.173,16.18,532756385.7305711,0.12830442
4,1,50,83,66,23,40,0.5,0.5,17.92,9.57,9.049,532917287.29223365,0.12865992
4,2,50,83,66,23,40,0.5,0.5,8.233,3.707,12.896,532658472.0293179,0.1296072
4,3,50,83,66,23,40,0.5,0.5,4.545,12.515,12.969,532563213.6310703,0.12500988
4,4,50,83,66,23,40,0.5,0.5,6.267,6.84,2.804,532603729.1397683,0.13337034
5,1,50,83,66,30,40,0.5,0.5,19.555,16.85,19.878,532967062.94246966,
5,2,50,83,66,30,40,0.5,0.5,10.089,5.227,11.633,532708006.9853797,0.12949734
5,3,50,83,66,30,40,0.5,0.5,1.505,13.719,14.237,532483067.1040516,0.12371868
5,4,50,83,66,30,40,0.5,0.5,17.336,6.566,6.624,532899885.9855428,0.131571
6,1,100,83,66,33,40,0.5,0.5,17.697,14.556,7.034,532912362.56270033,0.12705858
6,2,100,83,66,33,40,0.5,0.5,13.593,4.587,2.503,532798082.68174225,0.13479978
6,3,100,83,66,33,40,0.5,0.5,12.508,5.0,1.594,532769003.7523,0.13506762
6,4,100,83,66,33,40,0.5,0.5,6.603,8.304,3.571,532613433.5643554,0.1321734
7,1,50,83,66,47,40,0.5,0.5,10.299,17.982,5.218,532715776.67641634,0.12607488
7,2,50,83,66,47,40,0.5,0.5,19.981,3.238,17.342,532972917.30332303,
7,3,50,83,66,47,40,0.5,0.5,9.248,4.466,15.554,532686682.679192,0.12777444
7,4,50,83,66,47,40,0.5,0.5,14.581,10.703,6.825,532827932.74413157,0.12915948
8,1,100,72,75,4,40,0.5,0.5,15.894,3.228,15.627,532863397.45578295,0.12892656
8,2,100,72,75,4,40,0.5,0.5,16.166,0.85,9.466,532867748.19040394,0.13308126
8,3,100,72,75,4,40,0.5,0.5,18.54,7.981,11.817,532934214.1904834,0.1280148
8,4,100,72,75,4,40,0.5,0.5,14.178,16.906,2.852,532817979.8214746,0.12788274
9,1,50,68,75,4,40,0.5,0.5,8.587,15.585,2.642,532668468.64065266,0.12868842
9,2,50,68,75,4,40,0.5,0.5,13.587,6.758,4.544,532799338.38768965,0.13250082
9,3,50,68,75,4,40,0.5,0.5,2.979,15.456,1.63,532518667.17109233,0.12929994
9,4,50,68,75,4,40,0.5,0.5,10.87,15.858,10.25,532731962.4958548,0.1246467
10,1,50,96,75,4,40,0.5,0.5,6.976,14.186,12.9,532628532.5503907,0.12414924
10,2,50,96,75,4,40,0.5,0.5,2.564,7.321,19.254,532510831.5642176,0.12449826
10,3,50,96,75,4,40,0.5,0.5,4.2,14.971,5.281,532552255.3026006,0.1276959
10,4,50,96,75,4,40,0.5,0.5,6.462,2.223,13.638,532611040.45773894,0.12998082
11,1,100,62,75,4,40,0.5,0.5,9.125,3.976,4.99,532679650.502767,0.134
11,2,100,62,75,4,40,0.5,0.5,8.638,8.974,2.81,532667628.23994,0.132
11,3,100,62,75,4,40,0.5,0.5,10.641,14.21,4.12,532723224.3397937,0.129
11,4,100,62,75,4,40,0.5,0.5,11.539,10.818,10.6,532748185.49988157,0.127
12,1,50,78,75,4,40,0.5,0.5,7.815,1.856,6.22,532644448.8104537,0.134
12,2,50,78,75,4,40,0.5,0.5,12.881,2.588,8.93,532780602.954935,0.132
12,3,50,78,75,4,40,0.5,0.5,17.861,1.918,4.01,532911437.48871493,0.136
12,4,50,78,75,4,40,0.5,0.5,10.208,2.269,12.9,532710617.8175416,0.13
13,1,100,91,75,4,40,0.5,0.5,17.64,0.307,12.7,532907951.94894964,0.132
13,2,100,91,75,4,40,0.5,0.5,17.517,15.292,3.18,532906521.1569843,0.129
13,3,100,91,75,4,40,0.5,0.5,16.582,4.127,14.5,532881648.18595105,0.129
13,4,100,91,75,4,40,0.5,0.5,13.579,14.148,11.0,532803820.86238164,0.125
14,1,100,80,75,4,40,0.5,0.5,8.204,7.663,11.4,532658521.36806154,0.128
14,2,100,80,75,4,40,0.5,0.5,19.819,17.463,8.21,532970315.82007676,0.125
14,3,100,80,75,4,40,0.5,0.5,17.807,2.489,16.0,532914261.91178995,0.129
14,4,100,80,75,4,40,0.5,0.5,7.283,3.905,18.3,532635081.2787047,0.127
15,1,50,79,67,31,40,0.5,0.5,4.85,19.647,6.38,532571554.5681696,0.125
15,2,50,79,67,31,40,0.5,0.5,7.605,8.953,4.16,532640549.0949447,0.132
15,3,50,79,67,31,40,0.5,0.5,14.154,2.032,16.7,532816994.9342467,0.129
15,4,50,79,67,31,40,0.5,0.5,13.81,18.676,11.4,532811670.3643586,0.123
16,1,50,79,83,31,40,0.5,0.5,9.161,10.821,7.013,532683604.66204363,0.12898146
16,2,50,79,83,31,40,0.5,0.5,5.472,17.263,17.098,532590956.55818564,0.12060408
16,3,50,79,83,31,40,0.5,0.5,10.584,15.107,0.783,532720896.2485314,0.129918
16,4,50,79,83,31,40,0.5,0.5,6.379,7.164,11.287,532609687.3799687,0.12865356
17,1,100,79,60,31,40,0.5,0.5,13.988,9.944,19.598,532816237.5156279,0.12302478
17,2,100,79,60,31,40,0.5,0.5,6.766,4.729,0.359,532615496.80102605,0.13585776
17,3,100,79,60,31,40,0.5,0.5,5.053,12.978,16.433,532578093.9512606,0.12312408
17,4,100,79,60,31,40,0.5,0.5,8.722,13.035,17.65,532676291.5206697,0.1224528
18,1,50,79,61,31,40,0.5,0.5,9.366,1.143,3.866,532684746.3951204,0.1359345
18,2,50,79,61,31,40,0.5,0.5,8.64,8.789,5.923,532668664.5220167,0.1306494
18,3,50,79,61,31,40,0.5,0.5,9.853,0.456,17.472,532702121.6307764,0.12901932
18,4,50,79,61,31,40,0.5,0.5,0.968,2.899,9.884,532463613.4372271,0.13166796
19,1,50,79,86,31,40,0.5,0.5,11.04,9.62,5.053,532732605.19526976,0.13067646
19,2,50,79,86,31,40,0.5,0.5,14.564,11.169,15.128,532830463.9320136,0.12456276
19,3,50,79,86,31,40,0.5,0.5,15.563,6.68,0.476,532850610.453315,0.13481628
19,4,50,79,86,31,40,0.5,0.5,18.87,8.036,12.321,532943200.0014124,0.1277079
20,1,100,79,90,31,40,0.5,0.5,6.593,16.041,9.835,532617920.2308517,0.12478278
20,2,100,79,90,31,40,0.5,0.5,0.705,17.82,6.097,532460397.4686114,0.12572394
20,3,100,79,90,31,40,0.5,0.5,12.81,0.834,9.198,532778215.68762,0.13315842
20,4,100,79,90,31,40,0.5,0.5,2.272,11.169,18.125,532503967.2900565,0.1231287
