channel,layer_thickness_um,ambient_temp,resin_temp,resin_age,channel_length_um,channel_width_um,channel_height_um,delta_length_um,delta_width_um,delta_height_um,dim_error,flow_rate,perfect nominal flow rate
1,100,83,66,9,40000,500,500,13.207,12.317,1.04E+01,0.0003465276572,1.26E-01,0.1387
2,100,83,66,9,40000,500,500,8.151,9.676,8.27E+00,0.0002160376761,1.29E-01,0.1387
3,100,83,66,9,40000,500,500,11.131,14.001,8.73E+00,0.0003630136803,1.26E-01,0.1387
4,100,83,66,9,40000,500,500,9.917,6.606,1.24E+01,0.0002632194703,1.28E-01,0.1387
5,100,83,66,27,40000,500,500,6.286,13.153,10.428,0.0003756676894,0.12596748,0.1387
6,100,83,66,27,40000,500,500,13.065,5.615,9.939,0.0001737848226,0.13020936,0.1387
7,100,83,66,27,40000,500,500,9.568,8.723,8.371,0.0001949048989,0.12938496,0.1387
8,100,83,66,27,40000,500,500,9.631,10.565,9.438,0.0002676127495,0.12784386,0.1387
9,100,83,66,49,40000,500,500,5.084,9.452,12.937,0.0003422804155,0.12658152,0.1387
10,100,83,66,49,40000,500,500,9.148,12.898,10.324,0.0003639419412,0.12615816,0.1387
11,100,83,66,49,40000,500,500,12.935,4.335,13.169,0.0002563212385,0.12913842,0.1387
12,100,83,66,49,40000,500,500,2.367,6.908,7.251,0.0001337311206,0.13099806,0.1387
13,50,83,66,23,40000,500,500,5.749,11.491,14.777,0.0004672106323,0.12456492,0.1387
14,50,83,66,23,40000,500,500,7.066,12.04,13.483,0.0004356809204,0.12495822,0.1387
15,50,83,66,23,40000,500,500,10.728,7.922,15.003,0.0003838214344,0.12629178,0.1387
16,50,83,66,23,40000,500,500,13.323,9.16,13.218,0.000344865145,0.1266009,0.1387
17,50,83,66,30,40000,500,500,12.305,12.427,9.328,0.000321954095,0.12693018,0.1387
18,50,83,66,30,40000,500,500,9.432,6.4,9.482,0.0001745096325,0.13002414,0.1387
19,50,83,66,30,40000,500,500,8.515,5.722,8.686,0.0001442656119,0.13080906,0.1387
20,50,83,66,30,40000,500,500,11.566,13.109,6.469,0.0002849529919,0.12806058,0.1387
21,100,83,66,33,40000,500,500,9.692,12.109,7.335,0.0002672597111,0.12812976,0.1387
22,100,83,66,33,40000,500,500,7.431,12.361,3.173,0.0002171611708,0.13016682,0.1387
23,100,83,66,33,40000,500,500,8.512,11.541,9.477,0.0002973593746,0.12731202,0.1387
24,100,83,66,33,40000,500,500,9.229,11.256,8.586,0.0002672403207,0.12792354,0.1387
25,50,83,66,47,40000,500,500,5.938,4.191,8.627,0.0001226601591,0.13166406,0.1387
26,50,83,66,47,40000,500,500,12.302,5.436,7.153,0.0001076522023,0.13180686,0.1387
27,50,83,66,47,40000,500,500,12.796,10.923,8.107,0.0002467479493,0.12836766,0.1387
28,50,83,66,47,40000,500,500,6.695,5.812,11.151,0.0002108415315,0.12943794,0.1387
29,100,72,75,4,40000,500,500,7.392,11.299,10.847,0.0003271111303,0.1267236,0.1387
30,100,72,75,4,40000,500,500,15.366,8.261,7.718,0.0001704647171,0.13004208,0.1387
31,100,72,75,4,40000,500,500,14.781,7.785,11.919,0.0002702705642,0.12805278,0.1387
32,100,72,75,4,40000,500,500,7.696,13.336,12.409,0.0004424552419,0.12484584,0.1387
33,50,68,75,4,40000,500,500,6.272,13.308,10.097,0.0003720778927,0.12605718,0.1387
34,50,68,75,4,40000,500,500,3.453,17.565,10.438,0.0005566439093,0.12366162,0.1387
35,50,68,75,4,40000,500,500,7.528,3.331,10.544,0.0001630404691,0.13108464,0.1387
36,50,68,75,4,40000,500,500,8.691,7.163,13.453,0.0003097381068,0.12750216,0.1387
37,50,96,75,4,40000,500,500,13.545,8.068,8.994,0.0001946844356,0.12942456,0.1387
38,50,96,75,4,40000,500,500,14.431,3.749,14.27,0.0002902939209,0.12884796,0.1387
39,50,96,75,4,40000,500,500,9.262,7.978,12.119,0.0002807093985,0.12779064,0.1387
40,50,96,75,4,40000,500,500,9.905,9.145,9.149,0.000223134074,0.1287522,0.1387
41,100,62,75,4,40000,500,500,9.031,14.178,1.36E+01,0.0005146512368,1.24E-01,0.1387
42,100,62,75,4,40000,500,500,8.571,12.261,1.14E+01,0.0003737381326,1.26E-01,0.1387
43,100,62,75,4,40000,500,500,10.441,5.248,1.01E+01,0.00017275805,1.30E-01,0.1387
44,100,62,75,4,40000,500,500,9.338,9.688,1.24E+01,0.000330174625,1.27E-01,0.1387
45,50,78,75,4,40000,500,500,6.366,10.471,1.43E+01,0.0004188508976,1.25E-01,0.1387
46,50,78,75,4,40000,500,500,9.632,6.967,3.45E+00,0.00008060811355,1.33E-01,0.1387
47,50,78,75,4,40000,500,500,12.006,9.031,1.04E+01,0.0002529886447,1.28E-01,0.1387
48,50,78,75,4,40000,500,500,8.799,8.91,1.66E+01,0.000473280263,1.25E-01,0.1387
49,100,91,75,4,40000,500,500,3.697,8.781,1.35E+01,0.0003458107955,1.27E-01,0.1387
50,100,91,75,4,40000,500,500,12.498,3.935,1.11E+01,0.000184958175,1.30E-01,0.1387
51,100,91,75,4,40000,500,500,6.597,9.635,6.85E+00,0.0001863500334,1.30E-01,0.1387
52,100,91,75,4,40000,500,500,8.374,7.998,1.20E+01,0.0002773052811,1.28E-01,0.1387
53,100,80,75,4,40000,500,500,11.205,9.889,1.28E+01,0.0003488692513,1.26E-01,0.1387
54,100,80,75,4,40000,500,500,8.852,7.756,1.04E+01,0.0002244370392,1.29E-01,0.1387
55,100,80,75,4,40000,500,500,7.805,10.424,9.53E+00,0.0002659869259,1.28E-01,0.1387
56,100,80,75,4,40000,500,500,8.704,5.546,1.07E+01,0.0001936799379,1.30E-01,0.1387
57,50,79,67,31,40000,500,500,5.253,11.505,9.40E+00,0.0002943057821,1.27E-01,0.1387
58,50,79,67,31,40000,500,500,13.302,15.285,1.01E+01,0.0004475584965,1.25E-01,0.1387
59,50,79,67,31,40000,500,500,7.667,9.267,9.58E+00,0.0002368838318,1.28E-01,0.1387
60,50,79,67,31,40000,500,500,9.161,9.806,1.15E+01,0.0003045609988,1.27E-01,0.1387
61,50,79,83,31,40000,500,500,7.055,6.735,7.115,0.0001279883027,0.1311108,0.1387
62,50,79,83,31,40000,500,500,6.146,9.569,4.612,0.0001504562761,0.1309242,0.1387
63,50,79,83,31,40000,500,500,6.612,11.107,10.715,0.0003175780067,0.12688998,0.1387
64,50,79,83,31,40000,500,500,8.476,10.107,10.01,0.0002698170325,0.12779016,0.1387
65,100,79,60,31,40000,500,500,10.087,15.253,11.255,0.0004791265761,0.1244514,0.1387
66,100,79,60,31,40000,500,500,8.723,7.312,8.999,0.0001792789789,0.12979494,0.1387
67,100,79,60,31,40000,500,500,6.841,5.62,11.034,0.0002044544912,0.1296045,0.1387
68,100,79,60,31,40000,500,500,11.813,7.26,5.838,0.0001157488643,0.13153278,0.1387
69,50,79,61,31,40000,500,500,6.184,5.189,7.011,0.0001014477564,0.13199268,0.1387
70,50,79,61,31,40000,500,500,11.07,15.832,4.855,0.0003656565289,0.12743046,0.1387
71,50,79,61,31,40000,500,500,11.714,11.56,6.043,0.0002268971857,0.12911016,0.1387
72,50,79,61,31,40000,500,500,10.048,10.799,10.875,0.0003131997351,0.12696744,0.1387
73,50,79,86,31,40000,500,500,9.01,11.874,12.672,0.0004021121925,0.12547038,0.1387
