model_id,layer_thickness,exposure_time,printer_temp,resin_temp,resin_age,print_res_X,print_res_Y,print_res_Z,layer_offset,channel_length,channel_width,channel_diameter,channel_circumference,flow_metric,pressure_drop
1,50,6.381,28.75,24.19,5,50,50,50,0.562,7.71,167.88,237.62,321.89,765.027,512.949
2,50,5.604,24.21,25.56,5,75,100,50,0.464,17.8,215.65,119.89,737.63,779.853,508.865
3,50,5.282,26.39,24.73,5,50,100,25,0.765,15.78,274.78,147.88,497.38,739.401,499.163
4,50,6.536,22.5,27.54,5,50,100,25,0.42,8.79,119.08,105.91,357.04,732.72,491.723
5,50,6.861,27.14,26.51,5,100,50,25,0.333,10.99,178.98,248.72,452.27,728.885,497.666
6,50,5.066,23.75,23.23,5,100,50,50,0.69,13.71,226.8,237.59,477.77,700.491,512.332
7,50,5.818,30.0,27.21,5,75,75,25,0.544,20.0,289.12,171.79,705.15,803.245,521.285
8,50,6.054,24.96,25.05,5,50,100,50,0.638,5.64,133.37,223.15,653.49,722.85,516.814
9,50,6.169,26.86,26.82,5,50,75,50,0.719,16.79,104.07,168.56,673.12,743.684,500.541
10,50,5.901,22.0,25.45,5,50,75,25,0.306,7.89,253.61,186.01,256.07,748.49,489.202
11,50,5.237,28.2,26.28,5,75,50,25,0.675,10.62,213.37,95.15,478.88,757.56,502.601
12,50,7.0,24.73,23.47,5,75,50,25,0.509,15.0,159.43,208.4,514.74,772.758,484.737
13,50,6.707,29.48,24.49,5,75,75,25,0.435,13.29,143.8,101.71,260.56,774.987,504.436
14,50,5.421,25.51,27.77,5,75,100,25,0.589,12.24,293.39,220.43,392.9,736.588,499.344
15,50,5.719,27.64,23.79,5,75,50,25,0.383,6.18,249.95,212.94,668.16,750.077,496.166
16,50,6.465,23.28,25.95,5,100,100,50,0.8,18.4,195.97,200.49,325.41,755.064,485.581
17,50,6.445,27.97,25.29,5,50,100,50,0.524,9.46,297.52,86.15,544.42,745.923,506.002
18,50,5.665,22.93,26.98,5,50,75,50,0.63,16.18,148.03,131.53,368.36,790.734,496.686
