channel_id,batch_id,flow_rate,resin_temp,resin_age,ambient_temp
1,1,0.9902,76.51,0,72.99
2,1,1.0013,76.82,0,72.12
3,1,1.0043,77.64,0,72.38
4,1,0.985,77.1,0,71.88
5,1,0.9655,77.46,0,73.05
6,1,0.984,77.29,0,71.02
7,1,1.0216,76.68,0,71.76
8,1,0.9934,77.27,0,71.06
9,1,0.9935,76.84,0,72.66
10,1,1.0303,76.84,0,72.68
11,1,1.0099,77.05,0,71.59
12,1,1.014,76.24,0,73.33
13,1,1.017,77.6,0,71.76
14,1,0.9819,76.66,0,70.89
15,1,1.0025,77.5,0,71.78
16,1,1.003,77.07,0,72.29
17,1,0.9968,77.77,0,71.81
18,1,0.9781,76.67,0,73.81
19,1,1.0093,76.84,0,72.68
20,1,0.9668,77.17,0,73.39
21,1,0.9813,75.9,0,73.11
22,1,0.9838,77.41,0,70.65
23,1,0.9918,77.77,0,71.7
24,1,1.0168,77.56,0,69.82
25,1,1.0331,77.38,0,71.48
26,1,1.0344,76.93,0,72.89
27,1,1.0161,77.64,0,71.33
28,1,1.0088,77.54,0,71.49
29,1,0.9533,77.2,0,72.26
30,1,1.0226,77.0,0,72.63
31,2,1.1026,76.82,1,71.71
32,2,1.0591,76.38,1,71.8
33,2,1.0547,77.61,1,72.65
34,2,1.064,75.91,1,72.2
35,2,1.0646,76.81,1,71.77
36,2,1.0527,77.08,1,72.25
37,2,1.0425,77.43,1,72.06
38,2,1.0572,77.88,1,72.2
39,2,1.0226,77.5,1,73.6
40,2,1.0124,76.85,1,71.76
41,2,1.0772,77.36,1,71.57
42,2,1.0408,76.37,1,73.13
43,2,1.0643,77.71,1,71.44
44,2,1.0811,76.92,1,73.38
45,2,1.0744,76.66,1,71.84
46,2,1.0389,76.68,1,72.06
47,2,1.0565,76.97,1,72.59
48,2,1.0267,76.8,1,72.97
49,2,1.0479,78.14,1,72.8
50,2,1.0709,76.64,1,71.84
51,2,1.0506,77.02,1,71.71
52,2,0.993,77.01,1,72.28
53,2,1.005,77.01,1,72.11
54,2,1.034,77.03,1,71.49
55,2,1.0767,76.76,1,72.33
56,2,1.054,76.71,1,72.8
57,2,1.0528,76.57,1,72.13
58,2,1.0237,76.26,1,73.25
59,2,1.0529,77.11,1,72.33
60,2,1.0045,77.49,1,71.88
61,3,1.1268,76.73,2,72.08
62,3,1.1436,76.72,2,71.55
63,3,1.1036,76.84,2,71.17
64,3,1.1417,76.77,2,72.38
65,3,1.1056,76.28,2,71.32
66,3,1.1229,77.68,2,71.71
67,3,1.1173,77.22,2,71.93
68,3,1.1219,76.64,2,72.31
69,3,1.1505,77.15,2,72.37
70,3,1.1376,76.78,2,72.04
71,3,1.1064,76.89,2,70.45
72,3,1.0647,77.18,2,71.83
73,3,1.1379,77.48,2,71.38
74,3,1.1353,77.76,2,71.91
75,3,1.1233,77.85,2,72.79
76,3,1.1088,76.88,2,72.64
77,3,1.152,76.75,2,72.18
78,3,1.0843,77.05,2,72.4
79,3,1.1043,77.06,2,70.81
80,3,1.0907,76.63,2,72.16
81,3,1.1274,76.69,2,72.5
82,3,1.1107,77.41,2,71.44
83,3,1.1622,77.82,2,72.32
84,3,1.1204,76.89,2,71.7
85,3,1.1152,76.68,2,72.8
86,3,1.1315,76.86,2,72.89
87,3,1.1054,76.5,2,71.57
88,3,1.0983,76.86,2,73.17
89,3,1.1307,77.21,2,71.85
90,3,1.1102,76.96,2,73.65
