batch_id,layer_thickness_um,ambient_temp,resin_temp,resin_age,channel_1_length,channel_1_width,channel_1_height,channel_2_length,channel_2_width,channel_2_height,channel_3_length,channel_3_width,channel_3_height,channel_4_length,channel_4_width,channel_4_height,channel_1_flow_rate_ml_per_min,channel_2_flow_rate_ml_per_min,channel_3_flow_rate_ml_per_min,channel_4_flow_rate_ml_per_min,flow_rate_cv
1,50,87.01,83.45,3,15.245,0.4095,0.1041,16.173,0.4462,0.5632,18.109,0.3958,0.7096,19.291,0.4203,0.1266,0.00101,0.11208,0.15782,0.00122,1.011894
2,100,71.96,67.12,6,15.424,0.2588,0.9989,16.71,0.2099,0.3667,18.588,0.4546,0.4671,19.037,0.175,0.2231,0.22074,0.00785,0.03712,0.00145,1.345955
3,50,65.37,69.54,8,18.173,0.1269,0.7768,16.716,0.1808,0.5868,17.102,0.1071,0.3561,19.796,0.2813,0.9073,0.04015,0.02559,0.00299,0.13201,0.97765
4,100,71.98,68.68,10,17.807,0.229,0.5286,18.96,0.1622,0.9952,18.919,0.4497,0.7071,17.192,0.2133,0.8332,0.07763,0.37598,0.39224,0.29367,0.44002
5,50,80.51,79.89,13,16.23,0.1143,0.3813,15.328,0.4839,0.1459,17.276,0.1412,0.2004,17.58,0.1164,0.4461,0.04397,0.01215,0.00776,0.07329,0.772674
6,50,64.48,61.9,14,17.157,0.1005,0.3902,18.903,0.3033,0.3182,19.206,0.2958,0.5319,16.302,0.2332,0.7149,0.00856,0.01162,0.05214,0.12668,0.957413
7,50,61.89,61.43,15,15.553,0.4675,0.6312,18.101,0.1037,0.8645,16.208,0.1753,0.1043,17.846,0.1125,0.868,0.24959,0.11976,0.00095,0.13654,0.695437
8,100,84.14,88.6,17,18.004,0.2446,0.1703,16.082,0.4253,0.1269,17.07,0.2274,0.4118,16.588,0.4197,0.1171,0.00858,0.00692,0.1166,0.00475,1.390943
9,50,65.04,65.55,19,15.02,0.3772,0.2142,15.083,0.1692,0.9076,19.965,0.3029,0.8923,17.923,0.4967,0.5826,0.00564,0.18728,0.26037,0.13167,0.636804
10,100,60.73,63.22,22,17.768,0.1925,0.6102,16.981,0.4496,0.7826,18.388,0.2015,0.9851,18.629,0.3443,0.4773,0.04124,0.21804,0.17583,0.03362,0.692764
11,100,75.8,76.41,25,19.295,0.1597,0.7601,19.563,0.4846,0.8905,16.061,0.1714,0.4411,17.349,0.1798,0.5653,0.06386,0.33043,0.0145,0.03123,1.168109
12,100,91.92,91.11,28,16.886,0.1818,0.3872,18.597,0.3974,0.6479,19.438,0.1093,0.6229,16.973,0.4917,0.4682,0.02684,0.27746,0.06077,0.13555,0.769656
13,100,66.51,67.58,29,18.768,0.2358,0.2672,19.405,0.482,0.5698,16.391,0.1974,0.5216,16.01,0.1396,0.3335,0.00337,0.06239,0.02076,0.00391,1.061932
14,50,71.79,71.53,30,19.765,0.4507,0.5976,15.359,0.4607,0.1873,15.689,0.4938,0.8612,16.522,0.4929,0.6551,0.05547,0.00222,0.238,0.09298,0.900251
15,100,71.84,68.0,33,19.708,0.2619,0.3381,15.603,0.404,0.8618,19.481,0.4089,0.2615,15.502,0.1827,0.4722,0.00637,0.20698,0.00474,0.01511,1.473943
